Course,Sec,Enrolled,Instructor(1),Instructor(2),Time,Place,TA's
CS 294,56,12,Christos Papadimitriou,"",TH 5:00-7:00P,320 Soda
CS 294,85,0,Eric Paulos,"",TT 2:00-4:00P,340 Moffitt
CS 294,89,1,Ruzena Bajcsy,"",TT 12:30-2:00P,320 Soda
CS 294,97,9,John Wawrzynek,Adam Wolisz,TT 11:00-12:30P,320 Soda
CS 294,98,5,Sanjit A. Seshia,"",MW 2:30-4:00P,293 Cory
CS 298,2,6,Umesh Vazirani,"",M 4:00-5:30P,438 Soda
CS 298,3,0,David E. Culler,"",W 4:00-5:30P,306 Soda
CS 298,6,1,James Demmel,"GU, MING",W 11:00-12:00P,380 Soda
CS 298,11,0,Lotfi A. Zadeh,"",Tu 4:00-5:00P,606 Soda
CS 298,14,4,Umesh Vazirani,"",F 3:30-5:00P,373 Soda
CS 302,1,14,Dan Garcia,"",M 3:00-5:00P,606 Soda
CS 375,1,24,David E. Culler,Satish Rao,M 4:00-6:00P,310 Soda
